image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
60,0.5132356751710176,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
61,0.5152429239824414,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
62,0.5149243427440524,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
63,0.5116310017183423,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
64,0.5194088025018573,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
65,0.5256001176312566,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
66,0.5192841021344066,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
67,0.5193145833909512,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
68,0.5169935459271073,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
69,0.5131705459207296,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
70,0.5214205114170909,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
71,0.530310713686049,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
72,0.5160439517349005,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
73,0.520526341162622,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
74,0.5150780584663153,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
75,0.5159753542393446,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
76,0.5169029729440808,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
77,0.5188299976289272,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
78,0.5116001646965742,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
79,0.5131265455856919,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
80,0.5152433486655354,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
81,0.5164229944348335,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
82,0.5136560657992959,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
83,0.5231154626235366,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
84,0.5103356093168259,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
85,0.5186898624524474,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
86,0.5193779673427343,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
87,0.5160220107063651,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
88,0.5120555432513356,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
89,0.5127574866637588,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
90,0.5378738362342119,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
91,0.5127447284758091,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
92,0.522742428816855,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
93,0.512441105209291,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
94,0.5119478702545166,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
95,0.5131150968372822,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
96,0.5186746343970299,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
97,0.5156044876202941,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
98,0.5131386714056134,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
99,0.5135061051696539,137.671875,0.19140625,LIME2,50,100,10.0,1.0,resnet50,ImageNet,1
