image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
0,0.5166610144078732,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
1,0.5322364931926131,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
2,0.52299546264112,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
3,0.513114420697093,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
4,0.511103960685432,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
5,0.5226815110072494,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
6,0.5152556030079722,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
7,0.5135084707289934,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
8,0.5110611962154508,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
9,0.5168999349698424,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
10,0.515597109682858,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
11,0.515391057357192,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
12,0.5245364680886269,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
13,0.5213979408144951,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
14,0.520450122654438,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
15,0.5230034040287137,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
16,0.5129543989896774,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
17,0.5126420548185706,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
18,0.5162924500182271,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
19,0.5175882736220956,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
20,0.5361098935827613,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
21,0.5138992052525282,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
22,0.5152050396427512,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
23,0.5152365155518055,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
24,0.5183408195152879,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
25,0.5190534126013517,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
26,0.5157310236245394,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
27,0.5106224557384849,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
28,0.5153645109385252,137.671875,0.19140625,LIME2,30,100,10.0,1.0,resnet50,ImageNet,1
