image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
0,1.90101848077029,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
1,1.8933715960010886,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
2,1.904715407639742,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
3,1.9245093874633312,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
4,1.980269025079906,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
5,1.907684481702745,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
6,1.9026789059862494,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
7,1.909387663938105,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
8,1.921427872031927,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
9,1.9002660363912582,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
10,1.9008649587631226,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
11,1.898300419561565,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
12,1.9105821019038558,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
13,1.9037905521690845,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
14,1.8490525130182505,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
15,1.8305415688082576,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
16,1.8369864104315639,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
17,1.8266682280227542,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
18,1.8281498374417424,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
19,1.8532645432278514,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
20,1.8322518896311522,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
21,1.8312345752492547,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
22,1.8947103852406144,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
23,1.9150531217455864,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
24,1.9144148537889123,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
25,1.8929794551804662,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
26,1.9012786224484444,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
27,1.9919436676427722,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
28,1.9047283520922065,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
29,1.9209447959437966,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
30,1.9052856396883726,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
31,1.908758862875402,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
32,1.8947105398401618,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
33,1.8984162928536534,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
34,1.9016755893826485,139.13671875,0.19140625,LIME2,50,400,10.0,1.0,resnet50,ImageNet,1
