image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
0,0.2814550995826721,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
1,0.27778346836566925,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
2,0.28189079463481903,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
3,0.2827363582327962,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
4,0.2788610914722085,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
5,0.2870117900893092,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
6,0.27952638640999794,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
7,0.27716599218547344,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
8,0.27897750586271286,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
9,0.2795871561393142,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
10,0.27877076249569654,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
11,0.27981023769825697,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
12,0.29132235422730446,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
13,0.2929297098889947,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
14,0.27733111195266247,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
15,0.2801036583259702,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
16,0.28430973924696445,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
17,0.2877038214355707,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
18,0.2791855549439788,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
19,0.2799247270449996,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
20,0.27927182149142027,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
21,0.2803478855639696,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
22,0.280356764793396,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
23,0.27835147827863693,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
24,0.279447628185153,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
25,0.2784537896513939,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
26,0.27775950636714697,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
27,0.27976942621171474,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
28,0.2774912752211094,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
29,0.2829715861007571,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
30,0.2805597949773073,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
31,0.27926026564091444,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
32,0.2777289757505059,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
33,0.2808808237314224,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
34,0.2803011601790786,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
35,0.2869286611676216,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
36,0.2754290783777833,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
37,0.279108714312315,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
38,0.27985052950680256,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
39,0.2796900514513254,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
40,0.2744595054537058,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
41,0.27530832402408123,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
42,0.27401496283710003,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
43,0.27611502725631,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
44,0.2740584332495928,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
45,0.2789610531181097,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
46,0.2985553052276373,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
47,0.2925512855872512,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
48,0.2801845045760274,137.427734375,0.19140625,LIME2,50,50,10.0,1.0,resnet50,ImageNet,1
