image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
0,0.49629680160433054,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
1,0.49313010461628437,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
2,0.49533578287810087,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
3,0.49472905322909355,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
4,0.49126441311091185,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
5,0.4882073551416397,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
6,0.48376179952174425,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
7,0.4840258015319705,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
8,0.4859280623495579,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
9,0.48577722162008286,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
10,0.4868172397837043,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
11,0.4897412620484829,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
12,0.49511126056313515,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
13,0.495686505921185,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
14,0.48378807306289673,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
15,0.4843772342428565,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
16,0.4824501285329461,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
17,0.5187080511823297,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
18,0.5002035479992628,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
19,0.48446150682866573,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
20,0.48438407480716705,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
21,0.48799117654561996,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
22,0.4925704197958112,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
23,0.4893001187592745,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
24,0.48544087167829275,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
25,0.48472549486905336,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
26,0.4819454485550523,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
27,0.4874739218503237,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
28,0.4863970121368766,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
29,0.48665624018758535,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
30,0.5019022868946195,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
31,0.538222468458116,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
32,0.48861012514680624,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
33,0.48879195004701614,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
34,0.48539329413324594,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
35,0.48629895970225334,137.671875,0.19140625,LIME2,10,100,10.0,1.0,resnet50,ImageNet,1
