image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
0,0.5195395350456238,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
1,0.5225530313327909,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
2,0.49873086530715227,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
3,0.5033833989873528,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
4,0.49569772835820913,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
5,0.4968217806890607,137.671875,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
6,0.5002230787649751,137.671875,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
7,0.5229106601327658,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
8,0.49383169412612915,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
9,0.494458201341331,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
10,0.5051572974771261,137.671875,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
11,0.49497221037745476,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
12,0.49332425463944674,137.671875,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
13,0.496580577455461,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
14,0.4899514503777027,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
15,0.49284906405955553,137.671875,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
16,0.49433690682053566,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
17,0.49924773070961237,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
18,0.5011894460767508,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
19,0.4960711020976305,137.671875,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
20,0.49280489794909954,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
21,0.5013795671984553,137.720703125,0.19140625,LIME2,80,100,10.0,1.0,resnet50,ImageNet,1
