image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
0,0.4957818314433098,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
1,0.48924953304231167,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
2,0.48992656636983156,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
3,0.49509311001747847,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
4,0.49017373751848936,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
5,0.4908702243119478,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
6,0.4914676994085312,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
7,0.49484825134277344,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
8,0.5035496614873409,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
9,0.49750477727502584,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
10,0.49386667367070913,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
11,0.4900408498942852,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
12,0.4911973923444748,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
13,0.4976018089801073,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
14,0.5119664873927832,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
15,0.4894926967099309,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
16,0.4913443811237812,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
17,0.4903552895411849,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
18,0.49342609848827124,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
19,0.5008343337103724,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
20,0.4930725749582052,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
21,0.4915558462962508,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
22,0.4893387919291854,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
23,0.49251010175794363,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
24,0.4944212157279253,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
25,0.496678851544857,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
26,0.4930659681558609,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
27,0.4922610614448786,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
28,0.4994066720828414,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
29,0.4950401736423373,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
30,0.5028905952349305,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
31,0.49227713979780674,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
32,0.4920824272558093,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
33,0.5057852147147059,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
34,0.5087092015892267,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
35,0.49622117169201374,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
36,0.492817597463727,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
37,0.4937376696616411,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
38,0.5005591195076704,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
39,0.49139208998531103,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
40,0.49062162917107344,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
41,0.4882633127272129,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
42,0.49143594689667225,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
43,0.4941716156899929,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
44,0.49211306031793356,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
45,0.498193372040987,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
46,0.49440306704491377,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
47,0.4949767738580704,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
48,0.49307930562645197,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
49,0.4986304910853505,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
50,0.49113108683377504,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
51,0.4897048892453313,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
52,0.48987949825823307,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
53,0.5146013861522079,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
54,0.4940587477758527,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
55,0.49206349067389965,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
56,0.48998425900936127,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
57,0.4887537118047476,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
58,0.4902482032775879,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
59,0.496198202483356,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
60,0.4940245123580098,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
61,0.4933126615360379,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
62,0.4935876112431288,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
63,0.49410596769303083,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
64,0.4940091175958514,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
65,0.4913483401760459,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
66,0.4920063270255923,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
67,0.497006069868803,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
68,0.4976101713255048,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
69,0.4955210145562887,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
70,0.48800298664718866,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
71,0.4906808119267225,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
72,0.4947972483932972,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
73,0.5169389834627509,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
74,0.4925907636061311,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
75,0.49161327816545963,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
76,0.49413292203098536,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
77,0.4902507672086358,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
78,0.4904677690938115,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
79,0.4901618240401149,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
80,0.48957031685858965,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
81,0.4861224191263318,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
82,0.4901207461953163,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
83,0.4979048864915967,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
84,0.49107789248228073,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
85,0.4902129899710417,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
86,0.4915649062022567,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
87,0.4956314330920577,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
88,0.49221979826688766,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
89,0.5129005778580904,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
90,0.4922310942783952,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
91,0.4896605610847473,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
92,0.5033884001895785,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
93,0.5143320318311453,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
94,0.4943831544369459,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
95,0.49112970754504204,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
96,0.49432689789682627,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
97,0.49130098707973957,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
98,0.4917701156809926,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
99,0.5269209556281567,137.671875,0.19140625,LIME2,50,100,10.0,3.0,resnet50,ImageNet,1
