image_index,time,peak_memory,net_memory_change,method,n_segments,n_samples,compactness,sigma,model,dataset,run_number
0,0.5152856288477778,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
1,0.5131035558879375,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
2,0.5167724154889584,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
3,0.5176654923707247,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
4,0.5114274434745312,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
5,0.5135071817785501,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
6,0.5128313228487968,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
7,0.5159482583403587,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
8,0.514794641174376,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
9,0.5133509496226907,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
10,0.5126766674220562,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
11,0.514282044954598,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
12,0.53324961848557,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
13,0.5131333349272609,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
14,0.5119794467464089,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
15,0.5146499713882804,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
16,0.5103017669171095,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
17,0.5158933913335204,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
18,0.5157553432509303,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
19,0.5169231286272407,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
20,0.5128324879333377,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
21,0.5128773804754019,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
22,0.5161792384460568,137.720703125,0.19140625,LIME2,100,100,10.0,1.0,resnet50,ImageNet,1
